"","time","EL","EL_LAR","EL_BIO","EL_LAR_BIO","LL","LL_LAR","LL_BIO","LL_LAR_BIO","PL","SV","EV","IV","SH","IH","Mm","EIR","VC","R0"
"1",0,715981.010448291,0,0,0,29849.6150365037,0,0,0,2480.23390415486,14060.3329263721,487.37809515191,178.677784395474,1186.9918699187,813.008130081301,14060.3329263721,10,1.41179908675799,1.76474885844749
"2",1,716018.807115575,0.000526611306438382,0.000526611306438382,0.000430026866169374,29849.6904010429,59.3392380644043,59.3392380644043,48.4504962576344,2491.85410257878,14065.8781590412,487.387431716651,178.681207275407,1191.40291072879,808.59708927121,4334.36215982455,7.2465156283915,0.741615166974393,0.927018958717991
"3",2,716160.196069771,0.000526872210513053,0.000526872210513053,0.000430240823499159,29850.1036757851,59.3450956344073,59.3450956344073,48.4552791464734,2493.77322906651,14074.5572658186,487.428854033472,178.696393119555,1195.68330765699,804.316692343006,2048.69317780805,7.2471314987375,0.742054928180531,0.927568660225664
"4",3,716364.158003652,0.000527112244618838,0.000527112244618838,0.000430475967022991,29850.7869132719,59.3535398189678,59.3535398189678,48.4621782084511,2494.12982659593,14082.7712294793,487.501630823582,178.723073833648,1199.83611527611,800.163884723883,1511.43256194532,7.24821354992018,0.742473430861127,0.928091788576409
"5",4,716588.139112245,0.000527389917131285,0.000527389917131285,0.000430747194248425,29851.5775190233,59.3628702175857,59.3628702175857,48.4697603111797,2494.24286077605,14090.0707985061,487.598560465245,178.758609229652,1203.86441520542,796.135584794582,1385.14312520056,7.249654707647,0.742847563978712,0.92855945497339
"6",5,716808.763232559,0.000527430355341241,0.000527430355341241,0.000430694190760582,29852.3744640124,59.3719625683017,59.3719625683017,48.4772159107178,2494.31875568244,14096.4953713363,487.712791467094,178.800487480896,1207.77136610969,792.228633890304,1355.47255126487,7.2513531033919,0.743178839519478,0.928973549399347
"7",6,717015.336889558,0.000527564338788526,0.000527564338788526,0.00043080485753771,29853.1289535186,59.3805176510121,59.3805176510121,48.4842010785249,2494.38653872181,14102.1447713657,487.838666686145,178.84663462102,1211.56018128585,788.439818714146,1348.52502216345,7.25322462629692,0.74347189346516,0.92933986683145
"8",7,717203.854642012,0.000527679762009246,0.000527679762009246,0.000430899428743491,29853.8213032493,59.388323931728,59.388323931728,48.490574847621,2494.44891905369,14107.1143316769,487.971649890089,178.895387620958,1215.23410046944,784.765899530556,1346.91889759902,7.2552018312944,0.743731212866561,0.929664016083202
"9",8,717373.571567054,0.000527778523994692,0.000527778523994692,0.000430979110486181,29854.4463328938,59.3953508382001,59.3953508382001,48.4963122621772,2494.50566209277,14111.4875595881,488.108145854281,178.945428434657,1218.79636551682,781.203634483173,1346.56431661637,7.25723126429443,0.743960754195866,0.929950942744833
"10",9,717525.238748078,0.000527868395436209,0.000527868395436209,0.000431053041695585,29855.0056443864,59.4016297236645,59.4016297236645,48.5014389201769,2494.55670296795,14115.3370638401,488.245335140496,178.995723427287,1222.25020062606,777.74979937394,1346.50360049948,7.25927100566221,0.744163978655225,0.930204973319031
"11",10,717660.224285136,0.000527946503923562,0.000527946503923562,0.000431116926113759,29855.5037383301,59.4072174513999,59.4072174513999,48.50600125343,2494.60229642922,14118.7261892166,488.38104590859,179.045461754895,1225.59879648102,774.401203518982,1346.50815809573,7.26128817117074,0.744343924909473,0.930429906136841
"12",11,717779.862209645,0.000528015420483726,0.000528015420483726,0.000431173188713853,29855.9452942694,59.4121694277856,59.4121694277856,48.5100445008134,2494.64278474854,14121.7043519868,488.600463496292,179.007078979833,1228.84660379816,771.153396201835,1346.52638161405,7.25973153640434,0.744502960838331,0.930628701047914
"13",12,717886.278784662,0.00052807656922754,0.00052807656922754,0.000431223110347622,29856.3380521299,59.4165738097926,59.4165738097926,48.513640641801,2494.678831745,14124.3352781573,488.800636125367,178.981986480465,1232.0025734555,767.9974265445,1346.54613903842,7.25871389615217,0.744644216903088,0.930805271128859
"14",13,717980.720991554,0.000528130761641445,0.000528130761641445,0.000431267352875635,29856.6865819103,59.4204823221102,59.4204823221102,48.5168319092659,2494.71083639564,14126.6557358498,488.977461457018,178.97299928214,1235.06672783426,764.933272165733,1346.564620331,7.25834941533123,0.744769479229215,0.930961849036519
"15",14,718064.371581841,0.000528178720184315,0.000528178720184315,0.000431306506101123,29856.9952456256,59.4239440045132,59.4239440045132,48.5196583438176,2494.73918965628,14128.6987606187,489.13309638213,178.977261468282,1238.04065072611,761.959349273889,1346.58130863344,7.25852227065809,0.744880375657254,0.931100469571568
"16",15,718138.481703481,0.000528221191606274,0.000528221191606274,0.000431341179661327,29857.2686648977,59.4270107114819,59.4270107114819,48.5221622842324,2494.76430959107,14130.4986389078,489.27006621933,178.991690740416,1240.92627814976,759.073721850241,1346.59612933024,7.25910745780577,0.744978604148948,0.931223255186185
"17",16,718204.002694276,0.00052825873258318,0.00052825873258318,0.000431371828022065,29857.510358252,59.4297218624374,59.4297218624374,48.5243759161478,2494.78651688787,14132.0809657013,489.390336462455,179.014067621582,1243.72536482943,756.274635170564,1346.60923117192,7.26001496465307,0.745065440385706,0.931331800482133
"18",17,718261.921610995,0.000528291915778097,0.000528291915778097,0.000431398918701892,29857.723977773,59.432118350201,59.432118350201,48.5263326282152,2494.80614544789,14133.4720336574,489.49592726797,179.042237993385,1246.43997498273,753.560025017269,1346.62080398317,7.2611574297317,0.745142201212222,0.931427751515277
"19",18,718313.190336161,0.000528321289971003,0.000528321289971003,0.00043142289972202,29857.913043612,59.4342395938731,59.4342395938731,48.5280646058008,2494.82351795833,14134.6969703492,489.588779174903,179.074271856452,1249.07238417234,750.927615827656,1346.63103994597,7.262456580845,0.745210152096384,0.93151269012048
"20",19,718358.597385606,0.000528347307094092,0.000528347307094092,0.00043144414003905,29858.0804716836,59.43611824707,59.43611824707,48.529598510309,2494.83890224513,14135.7763489452,489.670486430329,179.108751399209,1251.62484079124,748.375159208757,1346.64010423494,7.26385491785679,0.745270337585891,0.931587921982364
"21",20,718398.815348156,0.000528370352023758,0.000528370352023758,0.000431462953864697,29858.228749889,59.4377821614159,59.4377821614159,48.530957082355,2494.85252685876,14136.7275731954,489.74239728166,179.144607050232,1254.09957349069,745.900426509305,1346.64813306488,7.26530906370386,0.745323647824828,0.931654559781036
"22",21,718434.440213472,0.000528390765806888,0.000528390765806888,0.000431479619628659,29858.3600814088,59.4392560094339,59.4392560094339,48.5321604668455,2494.86459427604,14137.5659799124,489.805700089882,179.180986190179,1256.4987989541,743.501201045895,1346.65524499943,7.26678443993503,0.745370871779108,0.931713589723886
"23",22,718465.992306927,0.000528408846445581,0.000528408846445581,0.00043149438061972,29858.4763884425,59.4405613326818,59.4405613326818,48.5332262522826,2494.87528114715,14138.3048751746,489.861421024177,179.217245847564,1258.82471991195,741.175280088045,1346.66154313657,7.26825497048453,0.745412698575225,0.931765873219032
